numChains = 8;

numberOfTasksinChain = [3,5,7,7,5,3,7,3];

runnablesInChains = [15,43,28,39,21,24,46,49,30,25,6,20,41,29,20,44,33,39,3,35,30,48,34,37];

processingTimesOfMessages = [[1,1,1,1],[1,1],[1,1,1,1,1,1,1],[1,1,1,1,1,1],[1,1,1],[1,1,1,1],[1],[1,1,1,1],[1,1,1],[1,1],[1,1,1],[1,1],[1,1,1],[1,1,1,1],[1,1,1,1],[1,1,1],[1,1],[1,1],[1,1],[1,1],[],[1,1],[1,1,1],[1,1,1,1],[1],[1,1],[1,1,1],[1,1],[1,1],[1,1],[1,1,1],[1],[1,1],[1,1,1],[1],[1,1,1,1],[],[1,1,1,1,1],[1],[1],[],[1,1,1],[],[],[1,1,1],[1],[1],[],[1,1,1,1],[]];

processingTimesRunnables = [17,20,8,15,15,13,15,16,13,15,9,15,9,18,14,18,17,11,14,6,15,14,15,9,13,18,17,13,20,16,13,21,18,13,17,17,11,10,15,16,17,18,16,19,15,15,19,12,14,13];

periods = [10000,10000,20000,100000,100000,10000,10000,100000,5000,100000,20000,20000,10000,10000,2000,10000,1000,10000,100000,10000,100000,10000,10000,20000,10000,100000,10000,100000,10000,20000,10000,100000,100000,50000,20000,50000,50000,100000,100000,100000,10000,5000,2000,10000,20000,20000,10000,20000,20000,100000];

communicationTimeForOrderCriticalMessages = [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];

sizeOfRunnables = [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];

senderLabelReceiverOrderCriticalChains = [[15,35,94,0,43],[28,150,0,0,39],[39,136,0,0,21],[24,44,0,0,46],[46,111,0,0,49],[49,164,0,0,30],[25,44,189,0,6],[6,158,0,0,20],[20,13,0,0,41],[29,65,0,0,20],[20,65,199,0,44],[33,197,0,0,39],[3,23,0,0,35],[35,182,0,0,30],[30,66,0,0,48],[34,33,0,0,37]];

senderLabelReceiverNonOrderCriticalChains = [[1,63,27],[1,63,28],[1,151,29],[1,152,2],[2,50,13],[2,154,7],[3,23,35],[3,63,27],[3,63,28],[3,120,7],[3,120,12],[3,194,5],[3,194,30],[4,59,10],[4,93,35],[4,93,11],[4,106,33],[4,194,5],[4,194,30],[5,45,12],[5,51,33],[5,129,9],[6,44,25],[6,44,46],[6,158,20],[6,160,13],[7,163,22],[8,16,39],[8,127,16],[8,167,22],[8,167,19],[9,120,7],[9,120,12],[9,162,42],[10,128,40],[10,196,32],[11,40,34],[11,66,37],[11,66,48],[12,30,14],[12,92,48],[13,52,8],[13,52,50],[13,110,18],[14,167,22],[14,167,19],[14,185,18],[14,185,26],[15,18,16],[15,35,40],[15,35,43],[15,94,43],[16,74,44],[16,165,29],[16,165,37],[17,175,35],[17,175,37],[18,70,47],[18,72,23],[19,17,32],[19,71,21],[20,13,41],[20,199,44],[22,103,31],[22,168,25],[23,9,50],[23,165,29],[23,165,37],[24,19,43],[24,44,25],[24,44,46],[24,95,21],[25,189,6],[26,60,14],[26,137,41],[27,83,19],[27,185,18],[27,185,26],[28,150,39],[28,198,34],[29,65,44],[29,65,20],[30,66,37],[30,66,48],[31,65,44],[31,65,20],[31,184,41],[32,85,17],[33,152,2],[33,197,39],[34,33,37],[34,174,36],[34,174,23],[35,182,30],[36,31,38],[36,55,26],[36,175,35],[36,175,37],[38,35,40],[38,35,43],[38,93,35],[38,93,11],[38,100,47],[39,136,21],[40,37,17],[42,174,36],[42,174,23],[42,177,40],[45,36,48],[45,133,46],[45,148,1],[46,111,49],[47,186,11],[49,10,50],[49,52,8],[49,52,50],[49,164,30]];

