numChains = 6;

numberOfTasksinChain = [3,3,5,7,7,3];

runnablesInChains = [28,14,10,2,6,20,3,30,8,22,3,18,15,20,13,27,2];

processingTimesOfMessages = [[1,1,1,1,1,1],[1,1],[1,1,1,1],[1,1,1],[1,1,1],[1,1,1,1],[1,1],[1,1,1],[1,1,1],[1,1,1,1,1,1,1,1],[1,1,1],[],[1,1,1,1],[1],[1,1],[1],[1,1,1],[1],[],[1,1],[1],[1],[1],[],[1],[1,1],[1],[1],[1,1],[1]];

processingTimesRunnables = [7,12,17,12,20,19,18,21,16,11,14,18,18,6,14,19,18,15,15,13,20,19,15,12,7,14,16,8,15,14];

periods = [10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000];

communicationTimeForOrderCriticalMessages = [1,1,1,1,1,1,1,1,1,1,1];

sizeOfRunnables = [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];

senderLabelReceiverOrderCriticalChains = [[28,67,0,0,14],[10,86,0,0,2],[6,74,0,0,20],[20,27,0,0,3],[30,7,0,0,8],[8,89,0,0,22],[22,43,0,0,3],[18,35,0,0,15],[15,66,0,0,20],[20,38,0,0,13],[27,28,0,0,2]];

senderLabelReceiverNonOrderCriticalChains = [[1,6,12],[1,6,18],[1,6,19],[1,6,4],[1,29,5],[1,29,13],[2,29,5],[2,29,13],[3,6,12],[3,6,18],[3,6,19],[3,6,4],[4,1,25],[4,74,5],[4,74,20],[5,89,21],[5,89,23],[5,89,22],[6,35,15],[6,74,5],[6,74,20],[6,80,7],[7,11,8],[7,84,11],[8,89,21],[8,89,23],[8,89,22],[9,77,24],[9,87,15],[9,87,27],[10,6,12],[10,6,18],[10,6,19],[10,6,4],[10,69,12],[10,69,30],[10,86,2],[10,86,24],[11,49,26],[11,66,19],[11,66,20],[13,6,12],[13,6,18],[13,6,19],[13,6,4],[14,23,16],[15,66,19],[15,66,20],[16,75,27],[17,48,22],[17,86,2],[17,86,24],[18,35,15],[20,27,3],[20,38,13],[21,30,29],[22,43,3],[23,18,24],[25,5,28],[26,87,15],[26,87,27],[27,28,2],[28,67,14],[29,69,12],[29,69,30],[30,7,8]];

